p_id,name,products,price,colour,brand,img,ratingCount,,description,p_attributes
13698728,Diwaah Women Black Embellished Tailored Jacket,Jacket,8760,Black,Diwaah,https://m.media-amazon.com/images/I/617At9WV-mL._SY741_.jpg,72,4.25,"Black embellished jacket, has a collarless, button closure, straight hem, and i liningThe model (height 5'8"") is wearing a size SMaterial: Cotton<br>Dry clean","{'Add-Ons': 'NA', 'Body Shape ID': '333,424', 'Body or Garment Size': 'Garment Measurements in', 'Closure': 'Button', 'Collar': 'Collarless', 'Contact Brand or Retailer for pre-sales product queries': '8392888920', 'Fabric': 'Cotton', 'Features': 'NA', 'Hemline': 'Straight', 'Length': 'Crop', 'Lining Fabric': 'Cotton', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Self Design', 'Print or Pattern Type': 'Self Design', 'Sleeve Length': 'Long Sleeves', 'Sport': 'NA', 'Surface Styling': 'Embroidered', 'Sustainable': 'Regular', 'Technology': 'NA', 'Technology Present': 'No', 'Type': 'Tailored Jacket', 'Wash Care': 'Dry Clean', 'Weave Type': 'Woven'}"
18888562,Styli Pink Solid Top,Top,1599,Pink,Styli,https://m.media-amazon.com/images/I/71sUQgAQTCL._SY741_.jpg,65,4.272727273,"<ul> <li> Pink regular top </li> <li> Solid </li> <li> Round neck,  long,  raglan sleeves </li> <li> Woven </li> <li> Button closure </li> </ul>The model (height 5'8) is wearing a size SPolyester<br>Machine wash","{'Body Shape ID': '333,424', 'Body or Garment Size': 'Garment Measurements in', 'Care for me': 'Follow the garment wash care label<br>\r\nCan be tumble dried in a cool setting if machine washed<br>\r\nPrevent static build-up by drying while damp<br>\r\nUse low heat to iron', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'Button', 'Fabric': 'Polyester', 'Fabric Type': 'NA', 'Length': 'Regular', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'Round Neck', 'Occasion': 'Party', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Long Sleeves', 'Sleeve Styling': 'Raglan Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'Wedding': 'NA', 'taxMaterial': 'NA'}"
14099282,Jaipur Kurti Plus Size Women Red Regular Fit Solid Trousers,Trousers,1599,Red,Jaipur Kurti,https://anindigoday.com/wp-content/uploads/2022/09/how-to-style-trousers-for-2022-trousers-with-a-crop-top-and-denim-jacket-6.webp,15,4.25,"Plus size Red solid mid-rise trousers, slip-on closure, and 2 pocketsMaterial: Cotton<br>  Hand WashRegular Fit<br>The model (height 5'8"") is wearing a size 38","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'NA', 'Character': 'NA', 'Closure': 'Slip-On', 'Fabric': 'Cotton', 'Fabric 2': 'NA', 'Features': 'Plain', 'Fit': 'Regular Fit', 'Fly Type': 'No Fly', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Number of Pockets': '2', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sustainable': 'Regular', 'Type': 'Regular Trousers', 'Type of Pleat': 'Pleated', 'Waist Rise': 'Mid-Rise', 'Wash Care': 'Hand Wash', 'Weave Type': 'Woven'}"
17069358,Jockey Women Green Solid Bomber Jacket,Bomber Jacket,1639,Green,Jockey,https://shop.mango.com/assets/rcs/pics/static/T5/fotos/outfit/S/57035986_30-99999999_01.jpg?imwidth=640&imdensity=1&ts=1698165179279,38,3.810344828,"Green solid bomber  with zip detail,  has a mock collar,  2  pockets ,has a zip closure, three-quarter sleeves,  straight  hemline, cotton  liningCotton<br>Normal Wash At 40c,Tumble dry low,Do not dry clean,Do not bleach,Low iron,Line dry in shade,Wash in like colours.The model (height 5'8) is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '324,333,424', 'Body or Garment Size': 'Garment Measurements in', 'Character': 'NA', 'Closure': 'Zip', 'Collar': 'Mock Collar', 'Fabric': 'Cotton', 'Features': 'NA', 'Hemline': 'Straight', 'Length': 'Regular', 'Lining Fabric': 'Cotton', 'Main Trend': 'NA', 'Number of Pockets': '2', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sport': 'NA', 'Surface Styling': 'Zip Detail', 'Sustainable': 'Regular', 'Technology': 'NA', 'Technology Present': 'No', 'Type': 'Bomber', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven'}"
10662670,Mast & Harbour Women Pink Solid Basic Jumpsuit,Jumpsuit,1899,Pink,Mast & Harbour,https://img3.junaroad.com/uiproducts/19161476/zoom_0-1673426452.jpg,149,3.810344828,"Pink solid basic jumpsuit with waist tie-ups, has a round neck, short sleeves, 2 pocketsThe model (height 5'8'') is wearing a size SMaterial: 100% Polyester<br>Machine Wash","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'Concealed Zip', 'Fabric': 'Polyester', 'Neck': 'Round Neck', 'Number of Pockets': '2', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Surface Styling': 'Waist Tie-Ups', 'Type': 'Basic Jumpsuit', 'Wash Care': 'Machine Wash'}"
18217144,Disrupt Women Black Smart Easy Wash Ankle Length Trousers,Trousers,1299,Black,Disrupt,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/b/a/ba3c704KTTWOMENSPANT282-Bronze_1.jpg?rnd=20200526195200&tr=w-512,28,4.272727273,"<ul> <li> Black knitted trousers </li> <li> Regular fit </li> <li> Brand Fit: smart </li> <li> Mid-rise </li> <li> Length:  regular </li> <li> Pattern: solid </li> <li> Flat-front, with no pleats design </li> <li> Feature:  easy wash </li> <li> 2 pockets </li> </ul>Brand Fit: Smart <br> Fit: Regular Fit <br> The model (height 5'8) is wearing a size 28Cotton<br>Machine Wash","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'Smart', 'Care for me': 'Machine Wash in cold water (30 degree C or low) to avoid shrinkage\r\nLine-dry in shade to avoid yellowing\r\nFor whites, wash with non-chlorine bleach on a hot water setting\r\nIron when slightly damp', 'Character': 'NA', 'Closure': 'Drawstring', 'Contact Brand or Retailer for pre-sales product queries': 'jerado brands private limited, godown unit no 103, 1st floor, prithvi complex bldg no b-3, reti bunder road bhiwandi, kalher, thane - 421302, ecommerce@disruptbrand.com', 'Fabric': 'Cotton', 'Fabric 2': 'NA', 'Features': 'Easy Wash', 'Fit': 'Regular Fit', 'Fly Type': 'Zip', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Number of Pockets': '2', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sustainable': 'Regular', 'Type': 'Regular Trousers', 'Type of Pleat': 'Flat-Front', 'Waist Rise': 'Mid-Rise', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted'}"
16846572,Anouk White Floral Organza Saree,Saree,4699,White,Anouk,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT3DxcYoerEL6hJ3vfr88xNs04t3LRu1l3kY9xUjyN5oADcXgZW5LWJYb12Ts1mcz4zg1P4L8MWJk_H22vgWnY3GUAO-00X5a1mJbN_C-96,6,4,<b> Design Details </b> <ul> <li> White saree </li> <li> Floral woven design saree with embroidered border </li> </ul> <br> The saree comes with an unstitched blouse piece<br>The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.<p>Organza</p>Length: 5.5 metres plus 0.8 metre blouse piece <br> Width: 1.06 metres (approx.),"{'Blouse': 'Blouse Piece', 'Blouse Fabric': 'Art Silk', 'Border': 'Embroidered', 'Care for me': 'NA', 'Multipack Set': 'NA', 'Occasion': 'Festive', 'Ornamentation': 'NA', 'Pattern': 'Woven Design', 'Print or Pattern Type': 'Floral', 'Saree Fabric': 'Organza', 'Sustainable': 'Regular', 'Trends': 'NA', 'Type': 'NA', 'Wash Care': 'Hand Wash'}"
15517674,GRACIT Women Maroon & Navy Blue Printed Palazzos Pack of 2,Palazzos,2738,Maroon,GRACIT,https://images.mehar.com/product_thumbnail/1679308155-1.jpg,110,4.25,"Pack of&nbsp; Maroon &amp; Navy Blue&nbsp;printed palazzos&nbsp;<br>Drawstring, elasticated waistband&nbsp;<br>Ethnic motifs<br><br>Women Rayon Full printed palazzo are a stylish piece of casual clothing. Featuring a mid-rise, soft, elasticated waistband - these palazzo promise a perfect and comfortable fit. Available in many shades, these pair well with indo-western tunics and Kurti.<p>Regular</p>Viscose Rayon<br>Machine wash","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'Drawstring', 'Fabric': 'Viscose Rayon', 'Fabric 2': 'NA', 'Fit': 'Flared', 'Length': 'Regular', 'Main Trend': 'NA', 'Multipack Set': '2', 'Number of Pockets': 'NA', 'Occasion': 'Western', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sustainable': 'Regular', 'Transparency': 'Sheer with Half Lining', 'Waistband': 'Elasticated', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted'}"
17886592,OXXO Women Camel Brown Solid A-Line Midi Belted Skirt,Skirt,3699,Camel Brown,OXXO,https://assets.ajio.com/medias/sys_master/root/20240207/kJli/65c305f516fd2c6e6ae1edfe/-473Wx593H-467039652-green-MODEL.jpg,874,5,<ul><li>Camel brown a-line midi skirt</li><li>Has zip closure with belted detail</li><li>two side pockets</li></ul>100% lyocell (viscose rayon)<br>Machine washThe model (height 5'8) is wearing a size M,"{'Add-Ons': 'NA', 'Body Shape ID': '443,324,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Character': 'NA', 'Closure': 'Zip', 'Fabric': 'Viscose Rayon', 'Fabric Type': 'NA', 'Hemline': 'Flared', 'Knit or Woven': 'Woven', 'Length': 'Midi', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Number of Pockets': '2', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Slit Detail': 'NA', 'Sub Trend': 'New Basics', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'A-Line', 'Wash Care': 'Machine Wash', 'Wedding': 'NA'}"
18205588,Van Heusen Woman Yellow Solid Trousers,Trousers,2299,Yellow,Van Heusen Woman,https://pantproject.com/cdn/shop/products/womenswear0032_80919cee-d9c9-423e-ad9d-7ea950c57968.jpg?v=1669977379,343,3.9,"<ul> <li> Yellow knitted parallel </li> <li> Regular fit </li> <li> Mid-rise </li> <li> Length:  regular </li> <li> Pattern: solid </li> <li> Flat-front, with no pleats design </li> <li> Feature:  plain </li> </ul>55% Linen and 45% Viscose<br>Machine wash<br> Fit: Regular Fit <br> The model (height 5'8) is wearing a size 28","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'NA', 'Care for me': 'Choose Dry Cleaning to keep it crisp\r\nUse chlorine-free bleach when Handwashing\r\nUse cold water to avoid shrinkage\r\nProne to wrinkling. Frugal use of spray starch and high heat ironing deliver the best results', 'Character': 'NA', 'Closure': 'Slip-On', 'Fabric': 'Linen', 'Fabric 2': 'NA', 'Features': 'Plain', 'Fit': 'Regular Fit', 'Fly Type': 'No Fly', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sustainable': 'Regular', 'Type': 'Parallel Trousers', 'Type of Pleat': 'Flat-Front', 'Waist Rise': 'Mid-Rise', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted'}"
